place_id,name,rating,user_ratings_total,current_opening_hours,postcode,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng
ChIJD3rMT2x62jERLoQ8Px0veGc,Senai Airport City Sdn Bhd,4.2,24.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81400,1.5953355,103.6780554,1.596680079892722,103.6793969298927,1.593980420107278,103.6766972701073
ChIJQ9HdzK1y2jERDLDOVKx7xdE,Iskandar Waterfront Holdings,2.4,13.0,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",80200,1.4828157,103.7187146,1.484124179892722,103.7200956298927,1.481424520107278,103.7173959701073
ChIJiVohTTRs2jERFxy3bAKFpRs,Pembinaan Eastern Aluminium Sdn Bhd (Known as Eastern Group of Companies),4.3,3.0,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",81100,1.5360837,103.7789422,1.537389579892722,103.7803437298927,1.534689920107278,103.7776440701073
ChIJw-rr5lBs2jERxSD1UN7uXyk,Rockwills Johor Regional Office,4.4,12.0,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81300,1.5464631,103.705843,1.547813429892722,103.7071925798927,1.545113770107278,103.7044929201073
ChIJd4V26eBs2jERtBcu1wcowFc,Infra Desa (Johor),4.2,21.0,,81100,1.4964148,103.7796463,1.497724829892722,103.7809984298927,1.495025170107278,103.7782987701073
ChIJo8WArJNx2jERgYr6Xjul6Cc,WIN IMPACT NETWORK SDN BHD HQ,5.0,2.0,,81300,1.5562182,103.7176827,1.557621179892722,103.7190412298927,1.554921520107278,103.7163415701073
ChIJyUbEEqBv2jERP-Zl17D040w,Chudenko (M) Sdn Bhd - JB Office,0.0,0.0,,81800,1.5691375,103.8033921,1.570482329892722,103.8047456298927,1.567782670107278,103.8020459701073
ChIJlXUldW0M2jERXLcmp_yNSO4,JKR Johor (HQ),3.6,14.0,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",79100,1.4186777,103.652677,1.419998179892722,103.6539729298927,1.417298520107278,103.6512732701073
ChIJ-VsQtEAV2jER1WaokiEMj4k,KYUDENKO MALAYSIA SDN BHD JOHOR BAHRU,4.0,1.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81750,1.4762796,103.8659259,1.477624029892722,103.8672729798927,1.474924370107278,103.8645733201073
ChIJV5e6KNpx2jERxWFVFlDJKos,RDC Arkitek SDN BHD,4.6,8.0,"['Monday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5792624,103.7227563,1.580619879892722,103.7243187298927,1.577920220107278,103.7216190701073
ChIJW5WugVxt2jERQeBMtUt5048,S.SATHEESAN & CO JOHOR BAHRU,5.0,7.0,"['Monday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5481864,103.74317,1.549604829892722,103.7445458298927,1.546905170107278,103.7418461701073
ChIJISj30zVv2jERrwjB8-L7bg8,IPG Realty @JB,5.0,10.0,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5534351,103.7848965,1.554799329892722,103.7862743298927,1.552099670107278,103.7835746701073
