place_id,name,rating,user_ratings_total,current_opening_hours,postcode,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng
ChIJHbW2qWwM2jERkUatBNLEOrw,Pejabat Menteri Besar Johor,3.9,18.0,"['Monday: 8:00AM–5:00PM', 'Tuesday: 8:00AM–5:00PM', 'Wednesday: 8:00AM–5:00PM', 'Thursday: 8:00AM–3:30PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00AM–5:00PM']",79502,1.421902,103.653525,1.423290729892722,103.6547726298927,1.420591070107278,103.6520729701073
ChIJEzgiu8IS2jERvEss34MaAz4,Ministry of International Trade and Industry,4.5,2.0,"['Monday: 9:00AM–5:00PM', 'Tuesday: 9:00AM–5:00PM', 'Wednesday: 9:00AM–5:00PM', 'Thursday: 9:00AM–3:30PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 9:00AM–5:00PM']",80000,1.4579666,103.7593246,1.459316429892722,103.7605144298927,1.456616770107278,103.7578147701073
ChIJj-RraS9s0DER5jeSDHTJPCw,Kluang Liaison Office,0.0,,,86000,2.0170687,103.3019877,2.018456229892722,103.3033930298927,2.015756570107277,103.3006933701073
ChIJjVJR7zcN2jERh53h_-qMHNg,Media Digital Johor,5.0,1.0,,79100,1.4164486,103.6552421,1.417739429892722,103.6566179798927,1.415039770107278,103.6539183201073
ChIJI9X5SMlt2jERaeRPL2EC6DU,"Jabatan Pengangkutan Jalan, Negeri Johor",3.9,1088.0,"['Monday: 8:00AM–1:00PM, 2:00–4:30PM', 'Tuesday: 8:00AM–1:00PM, 2:00–4:30PM', 'Wednesday: 8:00AM–1:00PM, 2:00–4:30PM', 'Thursday: 8:00AM–1:00PM, 2:00–3:00PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00AM–1:00PM, 2:00–4:30PM']",81100,1.5374314,103.7680022,1.539349529892722,103.7696131798927,1.536649870107278,103.7669135201073
ChIJG0ICGUNt2jERsw9m-gBx1VQ,Johor Bahru Land Office,3.0,89.0,"['Monday: 8:00AM–5:00PM', 'Tuesday: 8:00AM–5:00PM', 'Wednesday: 8:00AM–5:00PM', 'Thursday: 8:00AM–3:30PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00AM–5:00PM']",80350,1.4924974,103.7414015,1.493969079892722,103.7427365798927,1.491269420107278,103.7400369201073
ChIJdf1eY8dy2jERJ_ifFB6oi2E,"PUSPEN TAMPOI, AADK JOHOR, KEMENTERIAN DALAM NEGERI",4.0,8.0,,81200,1.5222315,103.7104435,1.523533079892722,103.7118298798927,1.520833420107278,103.7091302201073
ChIJbfpasipt0DERWDmE4kc9hVg,中华民国电脑教育发展协会驻马来西亚办事处,0.0,,"['Monday: 10:00AM–12:00PM, 1:00–6:00PM', 'Tuesday: 10:00AM–12:00PM, 1:00–6:00PM', 'Wednesday: 10:00AM–12:00PM, 1:00–6:00PM', 'Thursday: 10:00AM–12:00PM, 1:00–6:00PM', 'Friday: 10:00AM–12:00PM, 1:00–6:00PM', 'Saturday: 10:00AM–12:00PM, 1:00–6:00PM', 'Sunday: Closed']",86000,2.0399115,103.3224636,2.041262329892722,103.3238073798927,2.038562670107277,103.3211077201073
ChIJ10Kt_rtl0DEROHG6yvpWtws,Empangan Machap,0.0,,,86200,1.8885264,103.2766618,1.889908579892722,103.2780230298927,1.887208920107277,103.2753233701073
ChIJO47IAbZt0DERtXQC0l0kNNQ,Department of Statistics Malaysia Kluang Operational Centre,0.0,,"['Monday: 8:00AM–5:00PM', 'Tuesday: 8:00AM–5:00PM', 'Wednesday: 8:00AM–5:00PM', 'Thursday: 8:00AM–5:00PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00AM–5:00PM']",86000,2.030136,103.3185256,2.031533729892722,103.3198568798927,2.028834070107277,103.3171572201073
